"REF_DATE","GEO","DGUID","Census year (2)","Age (in single years), average age and median age (128)","Gender (3a)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Montréal (CMA), Que.","2021S0503462","2021","45","Men+","","0","units","0","","333.1.59.2","29025","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","45","Women+","","0","units","0","","333.1.59.3","29385","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","46","Total - Gender","","0","units","0","","333.1.60.1","58340","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","46","Men+","","0","units","0","","333.1.60.2","29030","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","46","Women+","","0","units","0","","333.1.60.3","29310","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","47","Total - Gender","","0","units","0","","333.1.61.1","55425","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","47","Men+","","0","units","0","","333.1.61.2","27395","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","47","Women+","","0","units","0","","333.1.61.3","28030","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","48","Total - Gender","","0","units","0","","333.1.62.1","54150","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","48","Men+","","0","units","0","","333.1.62.2","26940","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","48","Women+","","0","units","0","","333.1.62.3","27210","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","49","Total - Gender","","0","units","0","","333.1.63.1","54030","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","49","Men+","","0","units","0","","333.1.63.2","26960","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","49","Women+","","0","units","0","","333.1.63.3","27070","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","50 to 54 years","Total - Gender","","0","units","0","","333.1.64.1","274265","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","50 to 54 years","Men+","","0","units","0","","333.1.64.2","137585","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","50 to 54 years","Women+","","0","units","0","","333.1.64.3","136680","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","50","Total - Gender","","0","units","0","","333.1.65.1","55890","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","50","Men+","","0","units","0","","333.1.65.2","27920","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","50","Women+","","0","units","0","","333.1.65.3","27970","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","51","Total - Gender","","0","units","0","","333.1.66.1","55185","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","51","Men+","","0","units","0","","333.1.66.2","27795","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","51","Women+","","0","units","0","","333.1.66.3","27385","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","52","Total - Gender","","0","units","0","","333.1.67.1","54230","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","52","Men+","","0","units","0","","333.1.67.2","27240","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","52","Women+","","0","units","0","","333.1.67.3","26990","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","53","Total - Gender","","0","units","0","","333.1.68.1","54360","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","53","Men+","","0","units","0","","333.1.68.2","27185","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","53","Women+","","0","units","0","","333.1.68.3","27175","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","54","Total - Gender","","0","units","0","","333.1.69.1","54605","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","54","Men+","","0","units","0","","333.1.69.2","27445","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","54","Women+","","0","units","0","","333.1.69.3","27160","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","55 to 59 years","Total - Gender","","0","units","0","","333.1.70.1","292705","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","55 to 59 years","Men+","","0","units","0","","333.1.70.2","146695","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","55 to 59 years","Women+","","0","units","0","","333.1.70.3","146010","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","55","Total - Gender","","0","units","0","","333.1.71.1","56810","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","55","Men+","","0","units","0","","333.1.71.2","28730","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","55","Women+","","0","units","0","","333.1.71.3","28075","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","56","Total - Gender","","0","units","0","","333.1.72.1","60240","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","56","Men+","","0","units","0","","333.1.72.2","30225","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","56","Women+","","0","units","0","","333.1.72.3","30015","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","57","Total - Gender","","0","units","0","","333.1.73.1","59370","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","57","Men+","","0","units","0","","333.1.73.2","29990","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","57","Women+","","0","units","0","","333.1.73.3","29380","","","","0"
